GRID_ID,color
JX-204,#A3FF73
JY-204,#C9D3FE
JW-203,#C9D3FE
JX-203,#A3FF73
JY-203,#A3FF73
JX-199,#BFBF00
JX-198,#BFBF00
JY-198,#A3FF73
JW-197,#C9D3FE
JX-197,#BFBF00
JY-197,#C9D3FE
IR-196,#C9D3FE
IS-196,#FF7F7F
IT-196,#C9D3FE
IX-196,#BFBF00
IY-196,#C9D3FE
JD-196,#BFBF00
JF-196,#BFBF00
JG-196,#A3FF73
JH-196,#BFBF00
JX-196,#C9D3FE
JY-196,#BFBF00
IP-195,#BFBF00
IQ-195,#BFBF00
IR-195,#FF7F7F
IS-195,#BFBF00
IX-195,#A3FF73
IY-195,#C9D3FE
JB-195,#A3FF73
JC-195,#BFBF00
JE-195,#FF7F7F
JF-195,#BFBF00
JG-195,#BFBF00
JH-195,#BFBF00
JJ-195,#C9D3FE
JX-195,#C9D3FE
KB-195,#BFBF00
IB-194,#C9D3FE
IC-194,#C9D3FE
IU-194,#BFBF00
IV-194,#BFBF00
IX-194,#C9D3FE
IY-194,#A3FF73
IZ-194,#C9D3FE
JB-194,#A3FF73
JC-194,#BFBF00
JD-194,#BFBF00
JE-194,#BFBF00
JI-194,#FF7F7F
JJ-194,#BFBF00
JW-194,#C9D3FE
JX-194,#BFBF00
KA-194,#BFBF00
KB-194,#BFBF00
KC-194,#C9D3FE
IC-193,#BFBF00
ID-193,#BFBF00
IE-193,#BFBF00
IH-193,#C9D3FE
IJ-193,#C9D3FE
IU-193,#BFBF00
IV-193,#BFBF00
IY-193,#C9D3FE
JD-193,#FF7F7F
JE-193,#BFBF00
JH-193,#BFBF00
JI-193,#BFBF00
JJ-193,#BFBF00
JL-193,#C9D3FE
JX-193,#BFBF00
JY-193,#C9D3FE
KA-193,#C9D3FE
IC-192,#C9D3FE
ID-192,#C9D3FE
IE-192,#BFBF00
IG-192,#BFBF00
IH-192,#A3FF73
II-192,#BFBF00
IJ-192,#C9D3FE
IK-192,#BFBF00
IL-192,#A3FF73
IM-192,#C9D3FE
IR-192,#BFBF00
IS-192,#BFBF00
IT-192,#BFBF00
IU-192,#BFBF00
IV-192,#BFBF00
IW-192,#C9D3FE
JG-192,#BFBF00
JH-192,#BFBF00
JI-192,#BFBF00
JJ-192,#BFBF00
JK-192,#BFBF00
JL-192,#C9D3FE
JM-192,#FF7F7F
JV-192,#C9D3FE
JW-192,#FF7F7F
JX-192,#FF7F7F
IG-191,#A3FF73
IH-191,#BFBF00
II-191,#BFBF00
IJ-191,#A3FF73
IM-191,#A3FF73
IP-191,#C9D3FE
IQ-191,#C9D3FE
IR-191,#BFBF00
IS-191,#C9D3FE
IT-191,#C9D3FE
IU-191,#C9D3FE
IV-191,#C9D3FE
IW-191,#A3FF73
JD-191,#BFBF00
JF-191,#BFBF00
JG-191,#BFBF00
JH-191,#BFBF00
JJ-191,#C9D3FE
JK-191,#BFBF00
JL-191,#BFBF00
JM-191,#C9D3FE
JV-191,#C9D3FE
JW-191,#FF7F7F
IC-190,#BFBF00
ID-190,#C9D3FE
II-190,#A3FF73
IJ-190,#C9D3FE
IK-190,#A3FF73
IL-190,#A3FF73
IP-190,#C9D3FE
IQ-190,#C9D3FE
IR-190,#A3FF73
IS-190,#C9D3FE
IT-190,#C9D3FE
IU-190,#BFBF00
JD-190,#BFBF00
JE-190,#BFBF00
JF-190,#BFBF00
JG-190,#BFBF00
JH-190,#BFBF00
JK-190,#C9D3FE
JM-190,#FF7F7F
IB-189,#BFBF00
IC-189,#BFBF00
ID-189,#C9D3FE
II-189,#C9D3FE
IK-189,#C9D3FE
IO-189,#C9D3FE
IP-189,#FF7F7F
IQ-189,#C9D3FE
IR-189,#C9D3FE
IS-189,#C9D3FE
JE-189,#BFBF00
JF-189,#C9D3FE
JG-189,#BFBF00
JH-189,#A3FF73
IB-188,#A3FF73
IC-188,#BFBF00
ID-188,#BFBF00
JE-188,#C9D3FE
JG-188,#A3FF73
JL-188,#BFBF00
IC-187,#A3FF73
ID-187,#A3FF73
KL-184,#BFBF00
KK-183,#C9D3FE
KJ-182,#C9D3FE
KK-182,#A3FF73
KL-182,#A3FF73
KK-181,#A3FF73
KI-180,#A3FF73
KJ-180,#BFBF00
KI-179,#BFBF00
KK-178,#BFBF00
KL-178,#BFBF00
GF-177,#C9D3FE
KK-177,#BFBF00
KL-177,#BFBF00
LT-177,#FF7F7F
MX-177,#BFBF00
MY-177,#BFBF00
MZ-177,#C9D3FE
GF-176,#A3FF73
GG-176,#BFBF00
GH-176,#BFBF00
GI-176,#C9D3FE
GL-176,#C9D3FE
KH-176,#C9D3FE
LS-176,#FF7F7F
LT-176,#FF7F7F
LU-176,#FF7F7F
LV-176,#C9D3FE
MV-176,#BFBF00
MW-176,#BFBF00
MX-176,#BFBF00
MY-176,#BFBF00
MZ-176,#FF7F7F
NA-176,#C9D3FE
ND-176,#C9D3FE
GF-175,#A3FF73
GG-175,#A3FF73
GH-175,#A3FF73
GI-175,#A3FF73
GJ-175,#A3FF73
GL-175,#A3FF73
GM-175,#C9D3FE
HX-175,#FF7F7F
HY-175,#C9D3FE
HZ-175,#FF7F7F
KG-175,#C9D3FE
KH-175,#BFBF00
LU-175,#FF7F7F
LV-175,#FF7F7F
MU-175,#C9D3FE
MV-175,#C9D3FE
MW-175,#BFBF00
MX-175,#BFBF00
MY-175,#FF7F7F
NB-175,#BFBF00
NC-175,#FF7F7F
ND-175,#BFBF00
NE-175,#C9D3FE
NF-175,#BFBF00
NG-175,#BFBF00
GE-174,#BFBF00
GF-174,#A3FF73
GG-174,#A3FF73
GH-174,#A3FF73
GI-174,#C9D3FE
GJ-174,#A3FF73
GK-174,#A3FF73
GL-174,#A3FF73
GM-174,#BFBF00
HX-174,#FF7F7F
HY-174,#C9D3FE
HZ-174,#FF7F7F
KG-174,#C9D3FE
KT-174,#A3FF73
KV-174,#A3FF73
KX-174,#A3FF73
LU-174,#FF7F7F
MW-174,#BFBF00
MX-174,#A3FF73
MY-174,#BFBF00
NA-174,#C9D3FE
NB-174,#BFBF00
NC-174,#BFBF00
ND-174,#BFBF00
NE-174,#BFBF00
NF-174,#C9D3FE
NG-174,#A3FF73
GD-173,#A3FF73
GE-173,#A3FF73
GF-173,#A3FF73
GG-173,#BFBF00
GH-173,#BFBF00
GI-173,#A3FF73
GJ-173,#C9D3FE
GK-173,#A3FF73
GL-173,#A3FF73
HX-173,#BFBF00
HY-173,#FF7F7F
HZ-173,#FF7F7F
IA-173,#C9D3FE
KT-173,#BFBF00
KU-173,#BFBF00
KV-173,#BFBF00
KW-173,#A3FF73
KX-173,#A3FF73
LV-173,#BFBF00
NC-173,#C9D3FE
GC-172,#C9D3FE
GD-172,#C9D3FE
GE-172,#C9D3FE
GF-172,#A3FF73
GG-172,#C9D3FE
HR-172,#BFBF00
HT-172,#C9D3FE
HY-172,#FF7F7F
IA-172,#FF7F7F
KT-172,#C9D3FE
KW-172,#BFBF00
LV-172,#BFBF00
LW-172,#BFBF00
GB-171,#C9D3FE
GC-171,#FF7F7F
GD-171,#C9D3FE
GE-171,#C9D3FE
GF-171,#C9D3FE
GG-171,#A3FF73
HP-171,#BFBF00
HQ-171,#BFBF00
HR-171,#C9D3FE
HS-171,#A3FF73
HT-171,#A3FF73
HZ-171,#C9D3FE
IA-171,#FF7F7F
KN-171,#C9D3FE
KR-171,#BFBF00
KS-171,#BFBF00
KT-171,#BFBF00
KU-171,#BFBF00
KV-171,#A3FF73
LT-171,#BFBF00
LU-171,#BFBF00
LV-171,#BFBF00
LW-171,#BFBF00
GB-170,#A3FF73
GC-170,#C9D3FE
GD-170,#C9D3FE
GE-170,#C9D3FE
HL-170,#C9D3FE
HP-170,#BFBF00
HQ-170,#BFBF00
HR-170,#A3FF73
HS-170,#A3FF73
HT-170,#BFBF00
IA-170,#C9D3FE
KM-170,#BFBF00
KO-170,#BFBF00
KQ-170,#C9D3FE
KR-170,#BFBF00
KS-170,#BFBF00
KT-170,#BFBF00
KU-170,#BFBF00
LS-170,#C9D3FE
LT-170,#FF7F7F
LU-170,#BFBF00
LV-170,#A3FF73
GB-169,#C9D3FE
GC-169,#A3FF73
GD-169,#C9D3FE
GL-169,#FF7F7F
HL-169,#C9D3FE
HP-169,#C9D3FE
HQ-169,#BFBF00
HR-169,#A3FF73
HS-169,#C9D3FE
HT-169,#BFBF00
KM-169,#C9D3FE
KS-169,#C9D3FE
KT-169,#BFBF00
KU-169,#C9D3FE
LS-169,#A3FF73
GC-168,#C9D3FE
GD-168,#C9D3FE
GL-168,#C9D3FE
GM-168,#C9D3FE
HL-168,#C9D3FE
HO-168,#C9D3FE
HP-168,#BFBF00
HQ-168,#BFBF00
HS-168,#A3FF73
KU-168,#C9D3FE
GC-167,#C9D3FE
GD-167,#C9D3FE
GE-167,#C9D3FE
GF-167,#A3FF73
GH-167,#BFBF00
GJ-167,#BFBF00
GK-167,#BFBF00
GL-167,#BFBF00
GM-167,#FF7F7F
GN-167,#C9D3FE
HO-167,#BFBF00
HP-167,#BFBF00
GE-166,#A3FF73
GG-166,#FF7F7F
GH-166,#BFBF00
GI-166,#BFBF00
GK-166,#BFBF00
GL-166,#BFBF00
GM-166,#C9D3FE
GN-166,#BFBF00
MJ-166,#C9D3FE
MK-166,#C9D3FE
GF-165,#BFBF00
GG-165,#BFBF00
GH-165,#BFBF00
GI-165,#BFBF00
GJ-165,#BFBF00
GK-165,#BFBF00
GL-165,#BFBF00
GM-165,#C9D3FE
GN-165,#A3FF73
GO-165,#A3FF73
MH-165,#C9D3FE
MI-165,#BFBF00
MJ-165,#FF7F7F
MK-165,#FF7F7F
ML-165,#C9D3FE
GE-164,#BFBF00
GF-164,#BFBF00
GG-164,#BFBF00
GH-164,#BFBF00
GI-164,#BFBF00
GJ-164,#BFBF00
GK-164,#BFBF00
GL-164,#BFBF00
GM-164,#BFBF00
KM-164,#BFBF00
KN-164,#BFBF00
KO-164,#BFBF00
MI-164,#BFBF00
MJ-164,#BFBF00
MK-164,#BFBF00
GE-163,#BFBF00
GF-163,#C9D3FE
GG-163,#C9D3FE
GH-163,#BFBF00
GI-163,#BFBF00
GJ-163,#BFBF00
GK-163,#BFBF00
GL-163,#BFBF00
GM-163,#BFBF00
KM-163,#C9D3FE
KN-163,#BFBF00
KO-163,#C9D3FE
MI-163,#C9D3FE
MJ-163,#BFBF00
MK-163,#BFBF00
GH-162,#BFBF00
GI-162,#BFBF00
GK-162,#BFBF00
GM-162,#A3FF73
KR-162,#C9D3FE
KS-162,#A3FF73
KT-162,#BFBF00
MI-162,#C9D3FE
MJ-162,#A3FF73
GG-161,#C9D3FE
GH-161,#BFBF00
GI-161,#A3FF73
GJ-161,#BFBF00
GL-161,#A3FF73
KS-161,#BFBF00
KT-161,#BFBF00
KU-161,#BFBF00
KV-161,#C9D3FE
LX-161,#C9D3FE
GH-160,#FF7F7F
GI-160,#BFBF00
GJ-160,#BFBF00
GK-160,#C9D3FE
GL-160,#A3FF73
GM-160,#A3FF73
KT-160,#C9D3FE
KU-160,#C9D3FE
KV-160,#BFBF00
LV-160,#BFBF00
LW-160,#BFBF00
LX-160,#A3FF73
LY-160,#BFBF00
LZ-160,#BFBF00
OR-160,#A3FF73
OS-160,#A3FF73
OT-160,#C9D3FE
GH-159,#C9D3FE
GI-159,#BFBF00
GJ-159,#A3FF73
GK-159,#A3FF73
KT-159,#C9D3FE
KU-159,#BFBF00
KV-159,#C9D3FE
KW-159,#BFBF00
KX-159,#BFBF00
LT-159,#FF7F7F
LV-159,#BFBF00
