Name,PT_CODE,lat,lng,PT_CODE_List,index
Bayfront,CE1/DT16,1.281371,103.858998,"['CE1', 'DT16']",48
Beauty World,DT5,1.341607,103.775682,['DT5'],49
Bedok North,DT29,1.335268,103.918054,['DT29'],51
Bedok Reservoir,DT30,1.336595,103.93307,['DT30'],52
Bencoolen,DT21,1.298477,103.849984,['DT21'],53
Bendemeer,DT23,1.313674,103.863098,['DT23'],54
Botanic Gardens,CC19/DT9,1.322387,103.814905,"['CC19', 'DT9']",58
Bugis,EW12/DT14,1.300747,103.855873,"['EW12', 'DT14']",62
Bukit Panjang,BP6/DT1,1.37834,103.762452,"['BP6', 'DT1']",65
Cashew,DT2,1.369997,103.764569,['DT2'],69
Chinatown,NE4/DT19,1.284566,103.843626,"['NE4', 'DT19']",71
Downtown,DT17,1.27949,103.852802,['DT17'],81
Expo,CG1/DT35,1.334479,103.961459,"['CG1', 'DT35']",84
Fort Canning,DT20,1.291631,103.844621,['DT20'],87
Geylang Bahru,DT24,1.321479,103.871457,['DT24'],88
Hillview,DT3,1.363185,103.767371,['DT3'],92
Jalan Besar,DT22,1.305551,103.855443,['DT22'],95
Kaki Bukit,DT28,1.335076,103.909057,['DT28'],98
King Albert Park,DT6,1.335721,103.783203,['DT6'],103
Little India,NE7/DT12,1.306691,103.849396,"['NE7', 'DT12']",109
MacPherson,CC10/DT26,1.326769,103.889901,"['CC10', 'DT26']",111
Mattar,DT25,1.326878,103.883304,['DT25'],116
Newton,NS21/DT11,1.31383,103.838021,"['NS21', 'DT11']",118
Promenade,CC4/DT15,1.294063,103.860156,"['CC4', 'DT15']",129
Rochor,DT13,1.303601,103.852581,['DT13'],134
Sixth Avenue,DT7,1.331221,103.79718,['DT7'],139
Stevens,DT10,1.320012,103.825964,['DT10'],142
Tampines,EW2/DT32,1.354467,103.943325,"['EW2', 'DT32']",144
Tampines East,DT33,1.35631,103.955471,['DT33'],145
Tampines West,DT31,1.345583,103.938244,['DT31'],146
Tan Kah Kee,DT8,1.325826,103.807959,['DT8'],147
Telok Ayer,DT18,1.282285,103.848584,['DT18'],150
Ubi,DT27,1.330008,103.898911,['DT27'],157
Upper Changi,DT34,1.342218,103.961505,['DT34'],158
Bedok Reservoir,DT30,1.336595,103.93307,['DT30'],52
