Reporting country,COUNTRIES,Type of flow,Year,Value
Australia,Singapore,Inflow,1959,445
Australia,Singapore,Inflow,1960,453
Australia,Singapore,Inflow,1961,399
Australia,Singapore,Inflow,1962,442
Australia,Singapore,Inflow,1965,460
Australia,Singapore,Inflow,1966,496
Australia,Singapore,Inflow,1967,511
Australia,Singapore,Inflow,1968,597
Australia,Singapore,Inflow,1969,801
Australia,Singapore,Inflow,1970,853
Australia,Singapore,Inflow,1971,1065
Australia,Singapore,Inflow,1951,450
Australia,Singapore,Inflow,1952,500
Australia,Singapore,Inflow,1953,505
Australia,Singapore,Inflow,1954,499
Australia,Singapore,Inflow,1955,488
Australia,Singapore,Inflow,1956,726
Australia,Singapore,Inflow,1957,889
Australia,Singapore,Inflow,1958,1128
Australia,Singapore,Inflow,1959,1160
Australia,Singapore,Inflow,1960,961
Australia,Singapore,Inflow,1961,917
Australia,Singapore,Inflow,1962,988
Australia,Singapore,Inflow,1965,873
Australia,Singapore,Inflow,1966,1113
Australia,Singapore,Inflow,1967,1218
Australia,Singapore,Inflow,1968,1432
Australia,Singapore,Inflow,1969,1683
Australia,Singapore,Inflow,1970,2048
Australia,Singapore,Inflow,1971,3218
Australia ,Singapore,Outflow,1959,102
Australia ,Singapore,Outflow,1960,127
Australia ,Singapore,Outflow,1961,149
Australia ,Singapore,Outflow,1962,181
Australia ,Singapore,Outflow,1965,225
Australia ,Singapore,Outflow,1966,236
Australia ,Singapore,Outflow,1967,214
Australia ,Singapore,Outflow,1968,207
Australia ,Singapore,Outflow,1969,163
Australia ,Singapore,Outflow,1970,263
Australia ,Singapore,Outflow,1971,303
Australia ,Singapore,Outflow,1951,220
Australia ,Singapore,Outflow,1952,253
Australia ,Singapore,Outflow,1953,291
Australia ,Singapore,Outflow,1954,391
Australia ,Singapore,Outflow,1955,368
Australia ,Singapore,Outflow,1956,468
Australia ,Singapore,Outflow,1957,504
Australia ,Singapore,Outflow,1958,505
Australia ,Singapore,Outflow,1959,341
Australia ,Singapore,Outflow,1960,469
Australia ,Singapore,Outflow,1961,515
Australia ,Singapore,Outflow,1962,588
Australia ,Singapore,Outflow,1965,589
Australia ,Singapore,Outflow,1966,900
Australia ,Singapore,Outflow,1967,1316
Australia ,Singapore,Outflow,1968,1396
Australia ,Singapore,Outflow,1969,1976
Australia ,Singapore,Outflow,1970,2984
Australia ,Singapore,Outflow,1971,4320
Austria,Singapore,Outflow,1996,55
Austria,Singapore,Outflow,1997,69
Austria,Singapore,Outflow,1998,59
Austria,Singapore,Outflow,1999,39
Austria,Singapore,Outflow,2000,25
Austria,Singapore,Outflow,2001,72
Austria,Singapore,Outflow,2002,26
Austria,Singapore,Outflow,2003,21
Austria,Singapore,Outflow,2004,12
Austria,Singapore,Outflow,2005,30
Austria,Singapore,Outflow,2006,38
Austria,Singapore,Outflow,2007,39
Austria,Singapore,Outflow,2008,28
Austria,Singapore,Outflow,2009,53
Austria,Singapore,Outflow,2010,66
Austria,Singapore,Outflow,2011,64
Austria,Singapore,Inflow,1996,43
Austria,Singapore,Inflow,1997,46
Austria,Singapore,Inflow,1998,55
Austria,Singapore,Inflow,1999,82
Austria,Singapore,Inflow,2000,65
Austria,Singapore,Inflow,2001,59
Austria,Singapore,Inflow,2002,24
Austria,Singapore,Inflow,2003,33
Austria,Singapore,Inflow,2004,19
Austria,Singapore,Inflow,2005,30
Austria,Singapore,Inflow,2006,30
Austria,Singapore,Inflow,2007,41
Austria,Singapore,Inflow,2008,63
Austria,Singapore,Inflow,2009,64
Austria,Singapore,Inflow,2010,60
Austria,Singapore,Inflow,2011,88
Czech Republic,Singapore,Outflow,1983,1
Czech Republic,Singapore,Outflow,1987,1
Czech Republic,Singapore,Outflow,1990,1
Czech Republic,Singapore,Outflow,2002,1
Czech Republic,Singapore,Outflow,2003,2
Czech Republic,Singapore,Outflow,2004,2
Czech Republic,Singapore,Inflow,1990,4
Czech Republic,Singapore,Inflow,1991,2
Czech Republic,Singapore,Inflow,1992,1
Czech Republic,Singapore,Inflow,1994,4
Czech Republic,Singapore,Inflow,1997,6
Czech Republic,Singapore,Inflow,1998,2
Czech Republic,Singapore,Inflow,2001,2
Czech Republic,Singapore,Inflow,2003,6
Czech Republic,Singapore,Inflow,2004,6
Czechoslovakia,Singapore,Outflow,1983,1
Czechoslovakia,Singapore,Outflow,1987,1
Czechoslovakia,Singapore,Outflow,1990,1
Czechoslovakia,Singapore,Inflow,1990,4
Czechoslovakia,Singapore,Inflow,1991,2
Denmark,Singapore,Outflow,1980,40
Denmark,Singapore,Outflow,1981,70
Denmark,Singapore,Outflow,1982,87
Denmark,Singapore,Outflow,1983,47
Denmark,Singapore,Outflow,1984,51
Denmark,Singapore,Outflow,1985,47
Denmark,Singapore,Outflow,1986,22
Denmark,Singapore,Outflow,1987,52
Denmark,Singapore,Outflow,1988,56
Denmark,Singapore,Outflow,1989,77
Denmark,Singapore,Outflow,1990,104
Denmark,Singapore,Outflow,1991,96
Denmark,Singapore,Outflow,1992,93
Denmark,Singapore,Outflow,1993,96
Denmark,Singapore,Outflow,1994,87
Denmark,Singapore,Outflow,1995,95
Denmark,Singapore,Outflow,1996,147
Denmark,Singapore,Outflow,1997,147
Denmark,Singapore,Outflow,1998,148
Denmark,Singapore,Outflow,1999,96
Denmark,Singapore,Outflow,2000,141
Denmark,Singapore,Outflow,2001,181
Denmark,Singapore,Outflow,2002,140
Denmark,Singapore,Outflow,2003,146
Denmark,Singapore,Outflow,2004,154
Denmark,Singapore,Outflow,2005,173
Denmark,Singapore,Outflow,2006,297
Denmark,Singapore,Outflow,2007,237
Denmark,Singapore,Outflow,2008,263
Denmark,Singapore,Outflow,2009,277
Denmark,Singapore,Outflow,2010,272
Denmark,Singapore,Outflow,2011,287
Denmark,Singapore,Inflow,1980,134
Denmark,Singapore,Inflow,1981,66
Denmark,Singapore,Inflow,1982,83
Denmark,Singapore,Inflow,1983,76
Denmark,Singapore,Inflow,1984,54
Denmark,Singapore,Inflow,1985,46
Denmark,Singapore,Inflow,1986,87
Denmark,Singapore,Inflow,1987,70
Denmark,Singapore,Inflow,1988,52
Denmark,Singapore,Inflow,1989,48
Denmark,Singapore,Inflow,1990,75
Denmark,Singapore,Inflow,1991,103
Denmark,Singapore,Inflow,1992,87
Denmark,Singapore,Inflow,1993,123
Denmark,Singapore,Inflow,1994,102
Denmark,Singapore,Inflow,1995,88
Denmark,Singapore,Inflow,1996,87
Denmark,Singapore,Inflow,1997,128
Denmark,Singapore,Inflow,1998,141
Denmark,Singapore,Inflow,1999,130
Denmark,Singapore,Inflow,2000,115
Denmark,Singapore,Inflow,2001,133
Denmark,Singapore,Inflow,2002,138
Denmark,Singapore,Inflow,2003,213
Denmark,Singapore,Inflow,2004,171
Denmark,Singapore,Inflow,2005,195
Denmark,Singapore,Inflow,2006,229
Denmark,Singapore,Inflow,2007,264
Denmark,Singapore,Inflow,2008,338
Denmark,Singapore,Inflow,2009,341
Denmark,Singapore,Inflow,2010,419
Denmark,Singapore,Inflow,2011,375
Finland,Singapore,Outflow,1987,13
Finland,Singapore,Outflow,1989,11
Finland,Singapore,Outflow,1990,6
Finland,Singapore,Outflow,1991,6
Finland,Singapore,Outflow,1992,8
Finland,Singapore,Outflow,1993,6
Finland,Singapore,Outflow,1994,23
Finland,Singapore,Outflow,1995,41
Finland,Singapore,Outflow,1996,55
Finland,Singapore,Outflow,1997,44
Finland,Singapore,Outflow,1998,45
Finland,Singapore,Outflow,1999,51
Finland,Singapore,Outflow,2000,62
Finland,Singapore,Outflow,2001,56
Finland,Singapore,Outflow,2002,71
Finland,Singapore,Outflow,2003,74
Finland,Singapore,Outflow,2004,57
Finland,Singapore,Outflow,2005,90
Finland,Singapore,Outflow,2006,70
Finland,Singapore,Outflow,2007,58
Finland,Singapore,Outflow,2008,60
Finland,Singapore,Outflow,2009,86
Finland,Singapore,Outflow,2010,63
Finland,Singapore,Inflow,1976,4
Finland,Singapore,Inflow,1987,14
Finland,Singapore,Inflow,1988,13
Finland,Singapore,Inflow,1989,8
Finland,Singapore,Inflow,1990,12
Finland,Singapore,Inflow,1991,7
Finland,Singapore,Inflow,1992,12
Finland,Singapore,Inflow,1993,7
Finland,Singapore,Inflow,1994,11
Finland,Singapore,Inflow,1995,10
