Location,No. of Cases
Bukit Panjang Ring Road(Blk 235),1
Bukit Panjang Ring Road(Blk 236),2
Bukit Panjang Ring Road(Blk 237),1
Bukit Panjang Ring Road(Blk 238),2
Bukit Panjang Ring Road(Blk 239),3
Bukit Panjang Ring Road(Blk 242),1
Fajar Road(Blk 442D),1
Fajar Road(Blk 443C),1
Ang Mo Kio Avenue 4(Blk 624),2
Ang Mo Kio Avenue 6(Blk 635),3
Ang Mo Kio Avenue 9(Blk 621),1
Ang Mo Kio Avenue 9(Blk 623),2
Ang Mo Kio Avenue 9(Blk 625),3
Ang Mo Kio Avenue 9(Blk 627),3
Ang Mo Kio Avenue 9(Blk 651A),1
Ang Mo Kio Street 61,1
Bukit Batok East Avenue 5(Blk 241),1
Bukit Batok East Avenue 5(Regent Heights),1
Bukit Batok Street 52(Blk 501),4
Bukit Batok Street 52(Blk 503),1
Bukit Batok Street 52(Blk 506),1
Bukit Batok Street 52(Blk 510),3
Ah Soo Garden,3
Lorong Ah Soo,2
Paya Lebar Crescent,8
Jalan Gelenggang,2
Jalan Kuras,2
Woodlands Street 41(Blk 405),1
Woodlands Street 41(Blk 406),2
Woodlands Street 41(Blk 408),1
Woodlands Street 41(Blk 409),1
Bukit Batok West Avenue 6(Blk 188),3
Chin Terrace,2
Toh Drive,1
Petir Road(Blk 202),1
Petir Road(Blk 205),1
Petir Road(Blk 214),1
Petir Road(Blk 215),1
Jalan Chengam,2
Saint Nicholas View,1
Jurong West Avenue 1(Blk 441),1
Jurong West Street 41(Blk 457),1
Jurong West Street 41(Blk 460),1
Jurong West Street 64(Blk 664A),2
Jurong West Street 65(Blk 663A),1
Jurong West Street 61(Blk 654B),1
Jurong West Street 61(Blk 655A),1
Pasir Ris Street 51(Blk 525A),1
Pasir Ris Street 51(Blk 526A),1
Jurong West Street 61(Blk 648B),3
Jurong West Street 61(Blk 648C),1
Jurong West Street 61(Blk 649A),1
Jurong West Street 61(Blk 649B),1
Jurong West Street 61(Blk 650B),1
Jurong West Street 61(Blk 650C),2
Serangoon North Avenue 3(Blk 544),1
Serangoon North Avenue 4(Blk 529),1
Serangoon North Avenue 4(Blk 539),1
Serangoon North Avenue 4(Blk 542),1
Jurong West Avenue 1(Blk 430),1
Jurong West Street 42(Blk 420),2
Jurong West Street 42(Blk 401),1
Jurong West Street 42(Blk 433),2
Sembawang Drive(Blk 475),2
Sembawang Drive(Blk 478),1
Tagore Drive,1
Tagore Lane,2
Yio Chu Kang Gardens,3
Bishan Street 21(Bishan 8),2
Farrer Road(Spanish Village),1
Farrer Road(The Levelz),1
Jurong West Avenue 1(Blk 537),1
Jurong West Avenue 1(Blk 541),1
Keppel Bay View(Reflections at Keppel Bay),2
Kranji Road,2
Woodlands Avenue 9(Blk 781C),1
Woodlands Crescent(Blk 780D),1
