OBJECTID,name,lat,lon,wd_mon_mn,wd_mon_af,wd_mon_ev,wd_mon_nh,wd_tue_mn,wd_tue_af,wd_tue_ev,wd_tue_nh,wd_wed_mn,wd_wed_af,wd_wed_ev,wd_wed_nh,wd_thu_mn,wd_thu_af,wd_thu_ev,wd_thu_nh,wd_fri_mn,wd_fri_af,wd_fri_ev,wd_fri_nh,ss_sat_2h,ss_sat_4h,ss_sat_6h,ss_sat_8h,ss_sat_10h,ss_sat_12h,ss_sat_14h,ss_sat_16h,ss_sat_18h,ss_sat_20h,ss_sat_22h,ss_sat_24h,ss_sun_2h,ss_sun_4h,ss_sun_6h,ss_sun_8h,ss_sun_10h,ss_sun_12h,ss_sun_14h,ss_sun_16h,ss_sun_18h,ss_sun_20h,ss_sun_22h,ss_sun_24h,type,healthy
1,Alexandra Retail Centre,1.2740465,103.8013246,3.5,5,6,0,3.5,5,6,0,3.5,5,6,0,3.5,5,6,0,3.5,5,6,0,0,0,0,0.5,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
2,Ang Mo Kio Hub,1.3689812,103.8478606,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,burgerking,0
3,ARTRA,1.2901183,103.8173645,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,burgerking,0
4,Bukit Panjang Plaza,1.3800444,103.7642421,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,0,0,0,0,2,2,2,2,2,2,2,0.5,0,0,0,0,2,2,2,2,2,2,2,0.5,burgerking,0
5,Buona Vista Community Club,1.3094603,103.7926982,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
6,Burlington Square,1.3021885,103.8527583,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,0,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,1,burgerking,0
7,Central,1.2893005,103.8470263,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,1,burgerking,0
8,Changi Airport Terminal 1 Transit West,1.361813,103.9902721,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,burgerking,0
9,Changi Airport Terminal 1 Viewing Mall East,1.3628685,103.9894943,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,burgerking,0
10,Changi Airport Terminal 3 Transit,1.3555805,103.9861962,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,burgerking,0
11,Changi Airport Terminal 4 Transit,1.3555805,103.9861962,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,burgerking,0
12,Changi Business Park,1.3356287,103.9628977,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
13,Clementi Mall,1.314918,103.7643089,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,3,5,6,0.5,0,0,0,0,2,2,2,2,2,2,2,0.5,0,0,0,0,2,2,2,2,2,2,2,0.5,burgerking,0
14,Compass One,1.3922341,103.8954396,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,0,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,1,burgerking,0
15,Costal Playgrove,1.2971061,103.8995796,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
16,Eastpoint Mall,1.3428486,103.9532083,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
17,Fairprice Hub,1.326815,103.6789322,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
18,Fernvale Woods,1.3914485,103.8713806,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
19,Heartbeat@Bedok,1.3271175,103.9322493,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,burgerking,0
20,Heartland Mall,1.359771,103.8853325,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,0,3,5,6,1,0,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,0,burgerking,0
21,HillV2,1.3632139,103.7645352,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,3,5,6,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,burgerking,0
