latitude,longitude,time,id
-6.1600891,106.817773,2024-11-25 09:37:51.211000+07:00,loc_1
-6.1600891,106.817773,2024-11-25 09:37:51.299000+07:00,loc_2
-6.1600892,106.8177722,2024-11-25 09:37:51.398000+07:00,loc_3
-6.1600882,106.8177711,2024-11-25 09:37:51.498000+07:00,loc_4
-6.1600884,106.81777,2024-11-25 09:37:51.599000+07:00,loc_5
-6.160088,106.8177691,2024-11-25 09:37:51.699000+07:00,loc_6
-6.1600877,106.8177683,2024-11-25 09:37:51.799000+07:00,loc_7
-6.1600876,106.8177673,2024-11-25 09:37:51.898000+07:00,loc_8
-6.1600875,106.8177666,2024-11-25 09:37:52+07:00,loc_9
-6.1600872,106.8177657,2024-11-25 09:37:52.099000+07:00,loc_10
-6.1600874,106.8177648,2024-11-25 09:37:52.199000+07:00,loc_11
-6.160087,106.8177638,2024-11-25 09:37:52.299000+07:00,loc_12
-6.1600869,106.8177633,2024-11-25 09:37:52.398000+07:00,loc_13
-6.1600864,106.8177625,2024-11-25 09:37:52.498000+07:00,loc_14
-6.1600858,106.8177619,2024-11-25 09:37:52.599000+07:00,loc_15
-6.1600858,106.8177613,2024-11-25 09:37:52.699000+07:00,loc_16
-6.1600854,106.817761,2024-11-25 09:37:52.799000+07:00,loc_17
-6.1600847,106.8177604,2024-11-25 09:37:52.898000+07:00,loc_18
-6.1600846,106.8177599,2024-11-25 09:37:53+07:00,loc_19
-6.1600839,106.817759,2024-11-25 09:37:53.099000+07:00,loc_20
-6.1600839,106.8177586,2024-11-25 09:37:53.199000+07:00,loc_21
-6.1600837,106.817758,2024-11-25 09:37:53.299000+07:00,loc_22
-6.1600838,106.8177571,2024-11-25 09:37:53.398000+07:00,loc_23
-6.1600838,106.8177563,2024-11-25 09:37:53.498000+07:00,loc_24
-6.1600836,106.8177556,2024-11-25 09:37:53.599000+07:00,loc_25
-6.1600833,106.8177551,2024-11-25 09:37:53.699000+07:00,loc_26
-6.1600832,106.8177544,2024-11-25 09:37:53.799000+07:00,loc_27
-6.1600831,106.8177543,2024-11-25 09:37:53.898000+07:00,loc_28
-6.1600828,106.817754,2024-11-25 09:37:54+07:00,loc_29
-6.1600825,106.8177535,2024-11-25 09:37:54.099000+07:00,loc_30
-6.1600824,106.8177531,2024-11-25 09:37:54.199000+07:00,loc_31
-6.1600821,106.8177526,2024-11-25 09:37:54.299000+07:00,loc_32
-6.1600824,106.8177519,2024-11-25 09:37:54.398000+07:00,loc_33
-6.1600823,106.8177512,2024-11-25 09:37:54.498000+07:00,loc_34
-6.1600819,106.8177506,2024-11-25 09:37:54.599000+07:00,loc_35
-6.1600819,106.8177506,2024-11-25 09:37:54.699000+07:00,loc_36
-6.1600808,106.8177506,2024-11-25 09:37:54.799000+07:00,loc_37
-6.1600806,106.8177505,2024-11-25 09:37:54.898000+07:00,loc_38
-6.1600799,106.8177505,2024-11-25 09:37:55+07:00,loc_39
-6.1600797,106.8177506,2024-11-25 09:37:55.099000+07:00,loc_40
-6.1600795,106.8177507,2024-11-25 09:37:55.199000+07:00,loc_41
-6.1600789,106.8177508,2024-11-25 09:37:55.299000+07:00,loc_42
-6.1600784,106.8177509,2024-11-25 09:37:55.398000+07:00,loc_43
-6.1600786,106.8177509,2024-11-25 09:37:55.498000+07:00,loc_44
-6.1600783,106.8177511,2024-11-25 09:37:55.599000+07:00,loc_45
-6.1600779,106.8177513,2024-11-25 09:37:55.699000+07:00,loc_46
-6.1600777,106.8177513,2024-11-25 09:37:55.799000+07:00,loc_47
