latitude,longitude,time,id
-6.1600891,106.817773,2024-11-25 09:37:51.211000+07:00,loc_1
-6.1600795,106.8178007,2024-11-25 09:38:14.599000+07:00,loc_235
-6.1600604,106.817905,2024-11-25 09:38:16.699000+07:00,loc_256
-6.1600387,106.8180006,2024-11-25 09:38:18.199000+07:00,loc_271
-6.1600183,106.8181055,2024-11-25 09:38:19.699000+07:00,loc_286
-6.1600033,106.8182022,2024-11-25 09:38:21.199000+07:00,loc_301
-6.1599987,106.8182291,2024-11-25 09:38:21.699000+07:00,loc_306
-6.1599858,106.8183018,2024-11-25 09:38:23.199000+07:00,loc_321
-6.1599413,106.818404,2024-11-25 09:38:25.500000+07:00,loc_344
-6.1598997,106.8184923,2024-11-25 09:38:27.200000+07:00,loc_361
-6.1598954,106.8185039,2024-11-25 09:38:27.399000+07:00,loc_363
-6.1598594,106.8186043,2024-11-25 09:38:29+07:00,loc_379
-6.1598311,106.8187001,2024-11-25 09:38:30.500000+07:00,loc_394
-6.159799,106.8187922,2024-11-25 09:38:32.200000+07:00,loc_411
-6.1597945,106.8188006,2024-11-25 09:38:32.399000+07:00,loc_413
-6.1596984,106.818865,2024-11-25 09:38:35.399000+07:00,loc_443
-6.1595301,106.818798,2024-11-25 09:38:39.200000+07:00,loc_481
-6.1595961,106.8188411,2024-11-25 09:38:37.500000+07:00,loc_464
-6.1594971,106.8187713,2024-11-25 09:38:40.200000+07:00,loc_491
-6.1593991,106.8187365,2024-11-25 09:38:44.200000+07:00,loc_531
-6.1592966,106.8187195,2024-11-25 09:38:48.100000+07:00,loc_570
-6.1591085,106.8186996,2024-11-25 09:38:52.899000+07:00,loc_618
-6.1591999,106.8187078,2024-11-25 09:38:50.700000+07:00,loc_596
-6.1590991,106.8186975,2024-11-25 09:38:53.100000+07:00,loc_620
-6.158999,106.8186741,2024-11-25 09:38:55+07:00,loc_639
-6.1588943,106.818651,2024-11-25 09:38:56.700000+07:00,loc_656
-6.1587945,106.8186334,2024-11-25 09:38:58.200000+07:00,loc_671
-6.1586043,106.8185993,2024-11-25 09:39:01.500000+07:00,loc_704
-6.1586945,106.8186169,2024-11-25 09:38:59.799000+07:00,loc_687
-6.1585995,106.8185981,2024-11-25 09:39:01.600000+07:00,loc_705
-6.1584998,106.8185769,2024-11-25 09:39:04.100000+07:00,loc_730
-6.1583993,106.8185435,2024-11-25 09:39:08.100000+07:00,loc_770
-6.1582986,106.8185215,2024-11-25 09:39:12.100000+07:00,loc_810
-6.1581802,106.8184998,2024-11-25 09:39:15.799000+07:00,loc_847
-6.1581988,106.8185042,2024-11-25 09:39:15.200000+07:00,loc_841
-6.1580972,106.8184793,2024-11-25 09:39:18+07:00,loc_869
-6.1579961,106.8184576,2024-11-25 09:39:20.200000+07:00,loc_891
-6.1578978,106.8184337,2024-11-25 09:39:22.200000+07:00,loc_911
-6.1577212,106.818399,2024-11-25 09:39:26.500000+07:00,loc_954
-6.1577998,106.8184197,2024-11-25 09:39:24.500000+07:00,loc_934
-6.1576976,106.8183937,2024-11-25 09:39:27+07:00,loc_959
-6.1575945,106.8183751,2024-11-25 09:39:28.799000+07:00,loc_977
-6.1574955,106.8183558,2024-11-25 09:39:30.500000+07:00,loc_994
-6.1573951,106.8183323,2024-11-25 09:39:32.299000+07:00,loc_1012
-6.1572265,106.8182993,2024-11-25 09:39:35.100000+07:00,loc_1040
-6.1572974,106.8183105,2024-11-25 09:39:34+07:00,loc_1029
-6.1571993,106.8182968,2024-11-25 09:39:35.500000+07:00,loc_1044
-6.1570944,106.8182885,2024-11-25 09:39:36.899000+07:00,loc_1058
-6.156994,106.8182748,2024-11-25 09:39:38.100000+07:00,loc_1070
-6.1568946,106.8182569,2024-11-25 09:39:39.200000+07:00,loc_1081
-6.1567909,106.8182381,2024-11-25 09:39:40.299000+07:00,loc_1092
-6.1566076,106.8181989,2024-11-25 09:39:42.200000+07:00,loc_1111
-6.1566929,106.8182179,2024-11-25 09:39:41.299000+07:00,loc_1102
-6.1565985,106.8181968,2024-11-25 09:39:42.299000+07:00,loc_1112
-6.1564985,106.8181748,2024-11-25 09:39:43.500000+07:00,loc_1124
-6.1563958,106.8181526,2024-11-25 09:39:45+07:00,loc_1139
-6.1562964,106.8181289,2024-11-25 09:39:46.700000+07:00,loc_1156
-6.156179,106.8180997,2024-11-25 09:39:48.799000+07:00,loc_1177
-6.1561967,106.8181045,2024-11-25 09:39:48.500000+07:00,loc_1174
-6.1560952,106.8180792,2024-11-25 09:39:50.100000+07:00,loc_1190
-6.1559976,106.8180567,2024-11-25 09:39:51.500000+07:00,loc_1204
-6.1558929,106.8180349,2024-11-25 09:39:52.899000+07:00,loc_1218
-6.1557968,106.8180183,2024-11-25 09:39:54.100000+07:00,loc_1230
-6.1556784,106.8179994,2024-11-25 09:39:55.500000+07:00,loc_1244
-6.1556946,106.8180021,2024-11-25 09:39:55.299000+07:00,loc_1242
-6.1555992,106.8179851,2024-11-25 09:39:56.500000+07:00,loc_1254
-6.1554974,106.8179643,2024-11-25 09:39:57.899000+07:00,loc_1268
-6.1553949,106.8179382,2024-11-25 09:39:59.500000+07:00,loc_1284
-6.1552366,106.8178986,2024-11-25 09:40:01.799000+07:00,loc_1307
-6.1552943,106.8179129,2024-11-25 09:40:01+07:00,loc_1299
-6.1551994,106.8178895,2024-11-25 09:40:02.299000+07:00,loc_1312
-6.1550967,106.8178657,2024-11-25 09:40:03.700000+07:00,loc_1326
